"","new.date2","precip1"
"139",1993-07-01,"0"
"140",1993-08-01,"0"
"141",1993-09-01,"0.35"
"142",1993-10-01,"0"
"143",1993-11-01,"1.73"
"144",1993-12-01,"0"
"145",1994-01-01,"0"
"146",1994-02-01,"0"
"147",1994-03-01,"0"
"148",1994-04-01,"0"
"149",1994-05-01,"0.4"
"150",1994-06-01,"0.03"
"151",1994-07-01,"0"
"152",1994-08-01,"0"
"153",1994-09-01,"0.28"
"154",1994-10-01,"0"
"155",1994-11-01,"1.23"
"156",1994-12-01,"0"
"157",1995-01-01,"0.35"
"158",1995-02-01,"0"
"159",1995-03-01,"0"
"160",1995-04-01,"0"
"161",1995-05-01,"0"
"162",1995-06-01,"0"
"163",1995-07-01,"0"
"164",1995-08-01,"0"
"165",1995-09-01,"0"
"166",1995-10-01,"0"
"167",1995-11-01,"0"
"168",1995-12-01,"0.6"
"169",1996-01-01,"0"
"170",1996-02-01,"0"
"171",1996-03-01,"0"
"172",1996-04-01,"0"
"173",1996-05-01,"0.2"
"174",1996-06-01,"0"
"175",1996-07-01,"0"
"176",1996-08-01,"0.4"
"177",1996-09-01,"0"
"178",1996-10-01,"0"
"179",1996-11-01,"0"
"180",1996-12-01,"0.95"
"181",1997-01-01,"0"
"182",1997-02-01,"0.33"
"183",1997-03-01,"0.05"
"184",1997-04-01,"0.43"
"185",1997-05-01,"0.08"
"186",1997-06-01,"0.08"
"187",1997-07-01,"0"
"188",1997-08-01,"0"
"189",1997-09-01,"0.1"
"190",1997-10-01,"0"
"191",1997-11-01,"0.5"
"192",1997-12-01,"0.33"
"193",1998-01-01,"0.13"
"194",1998-02-01,"0"
"195",1998-03-01,"0.05"
"196",1998-04-01,"0.29"
"197",1998-05-01,"0"
"198",1998-06-01,"0.15"
"199",1998-07-01,"0.15"
"200",1998-08-01,"0"
"201",1998-09-01,"0"
"202",1998-10-01,"0.65"
"203",1998-11-01,"0"
"204",1998-12-01,"0.05"
"205",1999-01-01,"0"
"206",1999-02-01,"0"
"207",1999-03-01,"1.71"
"208",1999-04-01,"0"
"209",1999-05-01,"0"
"210",1999-06-01,"0"
"211",1999-07-01,"0"
"212",1999-08-01,"0"
"213",1999-09-01,"0"
"214",1999-10-01,"0"
"215",1999-11-01,"0"
"216",1999-12-01,"0"
"217",2000-01-01,"0"
"218",2000-02-01,"0"
"219",2000-03-01,"0"
"220",2000-04-01,"0"
"221",2000-05-01,"0.02"
"222",2000-06-01,"0"
"223",2000-07-01,"0"
"224",2000-08-01,"0"
"225",2000-09-01,"0"
"226",2000-10-01,"0"
"227",2000-11-01,"0"
"228",2000-12-01,"0"
"229",2001-01-01,"0"
"230",2001-02-01,"0.05"
"231",2001-03-01,"0"
"232",2001-04-01,"0"
"233",2001-05-01,"0"
"234",2001-06-01,"0"
"235",2001-07-01,"0.13"
"236",2001-08-01,"0"
"237",2001-09-01,"0.12"
"238",2001-10-01,"0"
"239",2001-11-01,"0.32"
"240",2001-12-01,"0.05"
"241",2002-01-01,"0"
"242",2002-02-01,"0.48"
"243",2002-03-01,"0"
"244",2002-04-01,"1.7"
"245",2002-05-01,"0.15"
"246",2002-06-01,"0.07"
"247",2002-07-01,"0"
"248",2002-08-01,"0"
"249",2002-09-01,"0"
"250",2002-10-01,"0"
"251",2002-11-01,"0.05"
"252",2002-12-01,"0"
"253",2003-01-01,"0.2"
"254",2003-02-01,"0.15"
"255",2003-03-01,"0"
"256",2003-04-01,"0"
"257",2003-05-01,"0.1"
"258",2003-06-01,"1.25"
"259",2003-07-01,"0"
"260",2003-08-01,"0.15"
"261",2003-09-01,"0"
"262",2003-10-01,"0"
"263",2003-11-01,"0"
"264",2003-12-01,"0.02"
"265",2004-01-01,"0"
"266",2004-02-01,"0"
"267",2004-03-01,"0"
"268",2004-04-01,"0"
"269",2004-05-01,"0"
"270",2004-06-01,"0"
"271",2004-07-01,"0"
"272",2004-08-01,"0"
"273",2004-09-01,"0"
"274",2004-10-01,"0.1"
"275",2004-11-01,"0"
"276",2004-12-01,"1.65"
"277",2005-01-01,"0"
"278",2005-02-01,"0"
"279",2005-03-01,"0.25"
"280",2005-04-01,"0.1"
"281",2005-05-01,"0.15"
"282",2005-06-01,"0"
"283",2005-07-01,"0.03"
"284",2005-08-01,"0.15"
"285",2005-09-01,"0.5"
"286",2005-10-01,"0"
"287",2005-11-01,"0"
"288",2005-12-01,"0.28"
"289",2006-01-01,"0"
"290",2006-02-01,"0"
"291",2006-03-01,"0"
"292",2006-04-01,"0.1"
"293",2006-05-01,"1.05"
"294",2006-06-01,"0.45"
"295",2006-07-01,"0"
"296",2006-08-01,"0"
"297",2006-09-01,"0"
"298",2006-10-01,"0.15"
"299",2006-11-01,"0"
"300",2006-12-01,"0.85"
"301",2007-01-01,"1.65"
"302",2007-02-01,"0"
"303",2007-03-01,"0"
"304",2007-04-01,"0"
"305",2007-05-01,"0"
"306",2007-06-01,"0"
"307",2007-07-01,"0"
"308",2007-08-01,"0"
"309",2007-09-01,"0"
"310",2007-10-01,"0"
"311",2007-11-01,"0"
"312",2007-12-01,"0"
"313",1982-01-02,"1.16"
"314",1982-02-02,"1.24"
"315",1982-03-02,"0.41"
"316",1982-04-02,"0.19"
"317",1982-05-02,"0.01"
"318",1982-06-02,"0.9"
"319",1982-07-02,"0"
"320",1982-08-02,"0"
"321",1982-09-02,"0.05"
"322",1982-10-02,"0.05"
"323",1982-11-02,"0.02"
"324",1982-12-02,"0"
"325",1983-01-02,"0.01"
"326",1983-02-02,"0"
"327",1983-03-02,"0"
"328",1983-04-02,"0"
"329",1983-05-02,"0"
"330",1983-06-02,"0"
"331",1983-07-02,"0"
"332",1983-08-02,"0.63"
"333",1983-09-02,"0"
"334",1983-10-02,"0.19"
"335",1983-11-02,"0"
"336",1983-12-02,"0"
"337",1984-01-02,"0"
"338",1984-02-02,"0"
"339",1984-03-02,"0"
"340",1984-04-02,"0"
"341",1984-05-02,"0"
"342",1984-06-02,"1.55"
"343",1984-07-02,"0"
"344",1984-08-02,"0"
"345",1984-09-02,"0.02"
"346",1984-10-02,"0.32"
"347",1984-11-02,"0"
"348",1984-12-02,"0"
"349",1985-01-02,"0.58"
"350",1985-02-02,"0"
"351",1985-03-02,"0"
"352",1985-04-02,"0.8"
"353",1985-05-02,"0"
"354",1985-06-02,"0.71"
"355",1985-07-02,"0"
"356",1985-08-02,"2.87"
"357",1985-09-02,"0"
"358",1985-10-02,"0"
"359",1985-11-02,"0"
"360",1985-12-02,"0"
"361",1986-01-02,"0"
"362",1986-02-02,"0"
"363",1986-03-02,"0"
"364",1986-04-02,"0"
"365",1986-05-02,"0.01"
"366",1986-06-02,"0.43"
"367",1986-07-02,"0"
"368",1986-08-02,"0.02"
"369",1986-09-02,"0"
"370",1986-10-02,"0.02"
"371",1986-11-02,"0"
"372",1986-12-02,"0"
"373",1987-01-02,"0"
"374",1987-02-02,"0"
"375",1987-03-02,"0.98"
"376",1987-04-02,"0.4"
"377",1987-05-02,"0"
"378",1987-06-02,"0"
"379",1987-07-02,"0"
"380",1987-08-02,"0"
"381",1987-09-02,"0"
"382",1987-10-02,"0.03"
"383",1987-11-02,"0"
"384",1987-12-02,"0"
"385",1988-01-02,"0.04"
"386",1988-02-02,"0.43"
"387",1988-03-02,"0"
"388",1988-04-02,"0"
"389",1988-05-02,"0"
"390",1988-06-02,"0"
"391",1988-07-02,"0.34"
"392",1988-08-02,"0"
"393",1988-09-02,"0"
"394",1988-10-02,"0"
"395",1988-11-02,"0.95"
"396",1988-12-02,"0"
"397",1989-01-02,"0"
"398",1989-02-02,"0"
"399",1989-03-02,"0"
"400",1989-04-02,"0.02"
"401",1989-05-02,"0.05"
"402",1989-06-02,"0"
"403",1989-07-02,"0.03"
"404",1989-08-02,"0"
"405",1989-09-02,"0.32"
"406",1989-10-02,"0"
"407",1989-11-02,"1.82"
"408",1989-12-02,"0"
"409",1990-01-02,"0.25"
"410",1990-02-02,"0"
"411",1990-03-02,"0"
"412",1990-04-02,"0"
"413",1990-05-02,"0.02"
"414",1990-06-02,"0"
"415",1990-07-02,"0"
"416",1990-08-02,"0.42"
"417",1990-09-02,"0"
"418",1990-10-02,"0.07"
"419",1990-11-02,"0"
"420",1990-12-02,"0"
"421",1991-01-02,"0"
"422",1991-02-02,"0"
"423",1991-03-02,"0.02"
"424",1991-04-02,"0"
"425",1991-05-02,"0.07"
"426",1991-06-02,"0"
"427",1991-07-02,"0"
"428",1991-08-02,"0"
"429",1991-09-02,"0"
"430",1991-10-02,"0.13"
"431",1991-11-02,"1.1"
"432",1991-12-02,"0"
"433",1992-01-02,"0"
"434",1992-02-02,"0"
"435",1992-03-02,"0"
"436",1992-04-02,"0"
"437",1992-05-02,"0"
"438",1992-06-02,"0.05"
"439",1992-07-02,"0"
"440",1992-08-02,"1.38"
"441",1992-09-02,"0"
"442",1992-10-02,"0"
"443",1992-11-02,"0"
"444",1992-12-02,"0"
"445",1993-01-02,"0"
"446",1993-02-02,"0"
"447",1993-03-02,"0"
"448",1993-04-02,"0.05"
"449",1993-05-02,"0"
"450",1993-06-02,"0"
"451",1993-07-02,"0"
"452",1993-08-02,"0"
"453",1993-09-02,"0"
"454",1993-10-02,"0"
"455",1993-11-02,"0"
"456",1993-12-02,"0"
"457",1994-01-02,"0"
"458",1994-02-02,"0"
"459",1994-03-02,"0"
"460",1994-04-02,"0"
"461",1994-05-02,"0.22"
"462",1994-06-02,"0"
"463",1994-07-02,"0"
"464",1994-08-02,"0"
"465",1994-09-02,"0"
"466",1994-10-02,"0"
"467",1994-11-02,"0.45"
"468",1994-12-02,"0"
"469",1995-01-02,"1.3"
"470",1995-02-02,"0"
"471",1995-03-02,"0"
"472",1995-04-02,"0"
"473",1995-05-02,"0"
"474",1995-06-02,"0"
"475",1995-07-02,"0"
"476",1995-08-02,"0"
"477",1995-09-02,"0"
"478",1995-10-02,"0"
"479",1995-11-02,"1.4"
"480",1995-12-02,"0"
"481",1996-01-02,"0"
"482",1996-02-02,"0.05"
"483",1996-03-02,"1.03"
"484",1996-04-02,"0.42"
"485",1996-05-02,"0"
"486",1996-06-02,"0"
"487",1996-07-02,"0"
"488",1996-08-02,"0"
"489",1996-09-02,"1.3"
"490",1996-10-02,"0.03"
"491",1996-11-02,"0"
"492",1996-12-02,"1.15"
"493",1997-01-02,"0"
"494",1997-02-02,"0"
"495",1997-03-02,"0.09"
"496",1997-04-02,"0"
"497",1997-05-02,"0.14"
"498",1997-06-02,"0"
"499",1997-07-02,"0.03"
"500",1997-08-02,"0.05"
"501",1997-09-02,"0"
"502",1997-10-02,"0"
"503",1997-11-02,"2.18"
"504",1997-12-02,"0.04"
"505",1998-01-02,"0.03"
"506",1998-02-02,"0"
"507",1998-03-02,"0"
"508",1998-04-02,"0.03"
"509",1998-05-02,"0.88"
"510",1998-06-02,"0"
"511",1998-07-02,"0"
"512",1998-08-02,"0"
"513",1998-09-02,"0"
"514",1998-10-02,"0"
"515",1998-11-02,"0"
"516",1998-12-02,"0"
"517",1999-01-02,"0"
"518",1999-02-02,"0.18"
"519",1999-03-02,"0"
"520",1999-04-02,"0"
"521",1999-05-02,"0"
"522",1999-06-02,"0"
"523",1999-07-02,"0.47"
"524",1999-08-02,"0"
"525",1999-09-02,"0"
"526",1999-10-02,"0"
"527",1999-11-02,"0"
"528",1999-12-02,"0"
"529",2000-01-02,"0.28"
"530",2000-02-02,"0"
"531",2000-03-02,"0.17"
"532",2000-04-02,"0.1"
"533",2000-05-02,"0"
"534",2000-06-02,"0"
"535",2000-07-02,"0"
"536",2000-08-02,"0.03"
"537",2000-09-02,"0.02"
"538",2000-10-02,"0"
"539",2000-11-02,"0"
"540",2000-12-02,"0"
"541",2001-01-02,"0"
"542",2001-02-02,"0"
"543",2001-03-02,"0"
"544",2001-04-02,"0"
"545",2001-05-02,"0"
"546",2001-06-02,"1.4"
"547",2001-07-02,"0"
"548",2001-08-02,"0"
"549",2001-09-02,"0"
"550",2001-10-02,"0"
"551",2001-11-02,"0"
"552",2001-12-02,"0"
"553",2002-01-02,"0"
"554",2002-02-02,"0"
"555",2002-03-02,"0"
"556",2002-04-02,"0"
"557",2002-05-02,"0.75"
"558",2002-06-02,"0.08"
"559",2002-07-02,"0.7"
"560",2002-08-02,"0"
"561",2002-09-02,"0"
"562",2002-10-02,"0"
"563",2002-11-02,"0"
"564",2002-12-02,"0.05"
"565",2003-01-02,"0"
"566",2003-02-02,"0.75"
"567",2003-03-02,"2.23"
"568",2003-04-02,"0"
"569",2003-05-02,"0.13"
"570",2003-06-02,"0.1"
"571",2003-07-02,"0"
"572",2003-08-02,"0.45"
"573",2003-09-02,"0"
"574",2003-10-02,"0.25"
"575",2003-11-02,"0"
"576",2003-12-02,"0"
"577",2004-01-02,"0.1"
"578",2004-02-02,"0"
"579",2004-03-02,"0.01"
"580",2004-04-02,"1.35"
"581",2004-05-02,"0.15"
"582",2004-06-02,"0.15"
"583",2004-07-02,"0.1"
"584",2004-08-02,"0"
"585",2004-09-02,"0"
"586",2004-10-02,"0.08"
"587",2004-11-02,"0.16"
"588",2004-12-02,"0"
"589",2005-01-02,"0.12"
"590",2005-02-02,"0"
"591",2005-03-02,"0"
"592",2005-04-02,"1.3"
"593",2005-05-02,"0.01"
"594",2005-06-02,"0"
"595",2005-07-02,"0"
"596",2005-08-02,"0.05"
"597",2005-09-02,"0"
"598",2005-10-02,"0"
"599",2005-11-02,"0"
"600",2005-12-02,"0"
"601",2006-01-02,"0"
"602",2006-02-02,"0.05"
"603",2006-03-02,"0"
"604",2006-04-02,"0"
"605",2006-05-02,"0.75"
"606",2006-06-02,"0.08"
"607",2006-07-02,"0"
"608",2006-08-02,"0.05"
"609",2006-09-02,"0"
"610",2006-10-02,"0.3"
"611",2006-11-02,"0.2"
"612",2006-12-02,"0"
"613",2007-01-02,"0.05"
"614",2007-02-02,"0.1"
"615",2007-03-02,"1.15"
"616",2007-04-02,"0.2"
"617",2007-05-02,"0"
"618",2007-06-02,"0.1"
"619",2007-07-02,"0.04"
"620",2007-08-02,"0"
"621",2007-09-02,"0"
"622",2007-10-02,"0"
"623",2007-11-02,"0"
"624",2007-12-02,"0"
"625",1982-01-03,"0.61"
"626",1982-02-03,"0"
"627",1982-03-03,"0"
"628",1982-04-03,"0"
"629",1982-05-03,"0"
"630",1982-06-03,"0.3"
"631",1982-07-03,"0"
"632",1982-08-03,"0"
"633",1982-09-03,"0.6"
"634",1982-10-03,"0"
"635",1982-11-03,"0.13"
"636",1982-12-03,"0"
"637",1983-01-03,"0"
"638",1983-02-03,"0"
"639",1983-03-03,"1.96"
"640",1983-04-03,"0.23"
"641",1983-05-03,"0.75"
"642",1983-06-03,"0.05"
"643",1983-07-03,"0.02"
"644",1983-08-03,"0.13"
"645",1983-09-03,"0"
"646",1983-10-03,"0"
"647",1983-11-03,"0"
"648",1983-12-03,"0.05"
"649",1984-01-03,"0"
"650",1984-02-03,"0.1"
"651",1984-03-03,"0"
"652",1984-04-03,"0"
"653",1984-05-03,"0"
"654",1984-06-03,"0.85"
"655",1984-07-03,"0"
"656",1984-08-03,"0"
"657",1984-09-03,"0"
"658",1984-10-03,"0.65"
"659",1984-11-03,"0.16"
"660",1984-12-03,"0"
"661",1985-01-03,"0"
"662",1985-02-03,"0.2"
"663",1985-03-03,"0.05"
"664",1985-04-03,"0.1"
"665",1985-05-03,"0"
"666",1985-06-03,"0"
"667",1985-07-03,"0"
"668",1985-08-03,"0"
"669",1985-09-03,"0.02"
"670",1985-10-03,"0"
"671",1985-11-03,"0"
"672",1985-12-03,"1.39"
"673",1986-01-03,"0"
"674",1986-02-03,"0.72"
"675",1986-03-03,"0"
"676",1986-04-03,"0.03"
"677",1986-05-03,"0.05"
"678",1986-06-03,"0.33"
"679",1986-07-03,"1.35"
"680",1986-08-03,"0.03"
"681",1986-09-03,"0"
"682",1986-10-03,"0"
"683",1986-11-03,"0.15"
"684",1986-12-03,"0"
"685",1987-01-03,"0"
"686",1987-02-03,"0"
"687",1987-03-03,"0.49"
"688",1987-04-03,"0"
"689",1987-05-03,"0"
"690",1987-06-03,"0"
"691",1987-07-03,"0.05"
"692",1987-08-03,"0"
"693",1987-09-03,"0"
"694",1987-10-03,"0.01"
"695",1987-11-03,"0"
"696",1987-12-03,"0"
"697",1988-01-03,"0"
"698",1988-02-03,"0.2"
"699",1988-03-03,"0"
"700",1988-04-03,"0"
"701",1988-05-03,"0"
"702",1988-06-03,"0"
"703",1988-07-03,"0.01"
"704",1988-08-03,"0"
"705",1988-09-03,"0"
"706",1988-10-03,"0"
"707",1988-11-03,"4.4"
"708",1988-12-03,"0"
"709",1989-01-03,"0.23"
"710",1989-02-03,"0.02"
"711",1989-03-03,"0"
"712",1989-04-03,"0"
"713",1989-05-03,"1.65"
"714",1989-06-03,"0.76"
"715",1989-07-03,"0.04"
"716",1989-08-03,"0"
"717",1989-09-03,"0.4"
"718",1989-10-03,"1.19"
"719",1989-11-03,"0"
"720",1989-12-03,"0.25"
"721",1990-01-03,"0"
"722",1990-02-03,"0"
"723",1990-03-03,"0"
"724",1990-04-03,"0"
"725",1990-05-03,"0"
"726",1990-06-03,"0"
"727",1990-07-03,"0"
"728",1990-08-03,"0"
"729",1990-09-03,"0"
"730",1990-10-03,"0.02"
"731",1990-11-03,"0.02"
"732",1990-12-03,"0"
"733",1991-01-03,"0"
"734",1991-02-03,"0"
"735",1991-03-03,"0.68"
"736",1991-04-03,"0"
"737",1991-05-03,"0.06"
"738",1991-06-03,"0"
"739",1991-07-03,"0"
"740",1991-08-03,"0"
"741",1991-09-03,"0"
"742",1991-10-03,"0.23"
"743",1991-11-03,"0"
"744",1991-12-03,"0.59"
"745",1992-01-03,"0"
"746",1992-02-03,"0"
"747",1992-03-03,"0"
"748",1992-04-03,"0"
"749",1992-05-03,"0.24"
"750",1992-06-03,"0"
"751",1992-07-03,"0"
"752",1992-08-03,"0"
"753",1992-09-03,"0"
"754",1992-10-03,"0.05"
"755",1992-11-03,"0"
"756",1992-12-03,"0"
"757",1993-01-03,"0.04"
"758",1993-02-03,"0"
"759",1993-03-03,"0"
"760",1993-04-03,"0.1"
"761",1993-05-03,"0"
"762",1993-06-03,"0.01"
"763",1993-07-03,"0.04"
"764",1993-08-03,"0.06"
"765",1993-09-03,"0.58"
"766",1993-10-03,"0.5"
"767",1993-11-03,"0.2"
"768",1993-12-03,"0.03"
"769",1994-01-03,"0"
"770",1994-02-03,"0"
"771",1994-03-03,"0.27"
"772",1994-04-03,"0"
"773",1994-05-03,"0"
"774",1994-06-03,"0"
"775",1994-07-03,"0"
"776",1994-08-03,"0"
"777",1994-09-03,"0"
"778",1994-10-03,"0"
"779",1994-11-03,"0"
"780",1994-12-03,"0"
"781",1995-01-03,"0"
"782",1995-02-03,"0"
"783",1995-03-03,"0"
"784",1995-04-03,"0"
"785",1995-05-03,"0"
"786",1995-06-03,"0.8"
"787",1995-07-03,"0"
"788",1995-08-03,"0"
"789",1995-09-03,"0"
"790",1995-10-03,"0"
"791",1995-11-03,"0.33"
"792",1995-12-03,"0.28"
"793",1996-01-03,"0"
"794",1996-02-03,"0.09"
"795",1996-03-03,"0.18"
"796",1996-04-03,"0"
"797",1996-05-03,"0.25"
"798",1996-06-03,"1.88"
"799",1996-07-03,"0"
"800",1996-08-03,"0"
"801",1996-09-03,"0.53"
"802",1996-10-03,"0.08"
"803",1996-11-03,"0"
"804",1996-12-03,"0"
"805",1997-01-03,"0.15"
"806",1997-02-03,"0"
"807",1997-03-03,"0"
"808",1997-04-03,"0"
"809",1997-05-03,"1.03"
"810",1997-06-03,"0"
"811",1997-07-03,"1.25"
"812",1997-08-03,"0"
"813",1997-09-03,"0.25"
"814",1997-10-03,"0"
"815",1997-11-03,"0"
"816",1997-12-03,"0"
"817",1998-01-03,"0"
"818",1998-02-03,"0"
"819",1998-03-03,"0"
"820",1998-04-03,"0.03"
"821",1998-05-03,"0"
"822",1998-06-03,"0.23"
"823",1998-07-03,"0"
"824",1998-08-03,"0"
"825",1998-09-03,"0"
"826",1998-10-03,"0"
"827",1998-11-03,"0"
"828",1998-12-03,"0.02"
"829",1999-01-03,"1.41"
"830",1999-02-03,"2.77"
"831",1999-03-03,"0"
"832",1999-04-03,"0.15"
"833",1999-05-03,"0"
"834",1999-06-03,"0"
"835",1999-07-03,"0"
"836",1999-08-03,"0"
"837",1999-09-03,"0"
"838",1999-10-03,"0"
"839",1999-11-03,"2"
"840",1999-12-03,"0"
"841",2000-01-03,"0.1"
"842",2000-02-03,"0"
"843",2000-03-03,"0.25"
"844",2000-04-03,"0.05"
"845",2000-05-03,"0"
"846",2000-06-03,"0"
"847",2000-07-03,"0"
"848",2000-08-03,"0"
"849",2000-09-03,"0"
"850",2000-10-03,"0"
"851",2000-11-03,"0"
"852",2000-12-03,"0"
"853",2001-01-03,"0"
"854",2001-02-03,"0"
"855",2001-03-03,"0"
"856",2001-04-03,"0"
"857",2001-05-03,"0"
"858",2001-06-03,"0.4"
"859",2001-07-03,"0"
"860",2001-08-03,"0"
"861",2001-09-03,"0"
"862",2001-10-03,"0"
"863",2001-11-03,"0.06"
"864",2001-12-03,"0"
"865",2002-01-03,"0"
"866",2002-02-03,"0.05"
"867",2002-03-03,"1.65"
"868",2002-04-03,"0.6"
"869",2002-05-03,"0.05"
"870",2002-06-03,"0"
"871",2002-07-03,"0"
"872",2002-08-03,"0"
"873",2002-09-03,"0.05"
"874",2002-10-03,"0.41"
"875",2002-11-03,"0"
"876",2002-12-03,"0.2"
"877",2003-01-03,"0"
"878",2003-02-03,"0.25"
"879",2003-03-03,"0"
"880",2003-04-03,"0"
"881",2003-05-03,"0.1"
"882",2003-06-03,"0"
"883",2003-07-03,"0"
"884",2003-08-03,"0"
"885",2003-09-03,"0"
"886",2003-10-03,"0.05"
"887",2003-11-03,"0.05"
"888",2003-12-03,"0"
"889",2004-01-03,"0.53"
"890",2004-02-03,"0"
"891",2004-03-03,"0"
"892",2004-04-03,"0.05"
"893",2004-05-03,"0.45"
"894",2004-06-03,"0.2"
"895",2004-07-03,"0.25"
"896",2004-08-03,"0"
"897",2004-09-03,"0"
"898",2004-10-03,"0.01"
"899",2004-11-03,"0.35"
"900",2004-12-03,"0.03"
"901",2005-01-03,"0.44"
"902",2005-02-03,"0.13"
"903",2005-03-03,"0"
"904",2005-04-03,"1.55"
"905",2005-05-03,"0"
"906",2005-06-03,"0"
"907",2005-07-03,"0"
"908",2005-08-03,"0"
"909",2005-09-03,"0"
"910",2005-10-03,"0"
"911",2005-11-03,"0"
"912",2005-12-03,"0"
"913",2006-01-03,"0"
"914",2006-02-03,"1.1"
"915",2006-03-03,"0.1"
"916",2006-04-03,"0"
"917",2006-05-03,"0.1"
"918",2006-06-03,"1.8"
"919",2006-07-03,"0"
"920",2006-08-03,"0"
"921",2006-09-03,"1.05"
"922",2006-10-03,"0"
"923",2006-11-03,"0"
"924",2006-12-03,"0"
"925",2007-01-03,"0"
"926",2007-02-03,"0.1"
"927",2007-03-03,"0"
"928",2007-04-03,"0.08"
"929",2007-05-03,"0"
"930",2007-06-03,"0.1"
"931",2007-07-03,"0"
"932",2007-08-03,"0.25"
"933",2007-09-03,"0"
"934",2007-10-03,"0"
"935",2007-11-03,"4.45"
"936",2007-12-03,"0.65"
"937",1982-01-04,"0"
"938",1982-02-04,"0.69"
"939",1982-03-04,"0"
"940",1982-04-04,"0.22"
"941",1982-05-04,"0"
"942",1982-06-04,"0"
"943",1982-07-04,"0"
"944",1982-08-04,"0"
"945",1982-09-04,"0.14"
"946",1982-10-04,"0"
"947",1982-11-04,"0.2"
"948",1982-12-04,"0"
"949",1983-01-04,"0"
"950",1983-02-04,"0.52"
